,DEP_DELAY(MINS),CRS_ELAPSED_TIME(MINS),NR_PREV_ARR_FLIGHTS(1HR),ARR_DAY_SIN,ARR_DAY_COS,ARR_MIN_OF_DAY_SIN,ARR_MIN_OF_DAY_COS,APPROACH_SPEED(KMH),TAIL_HEIGHT(M),PARKING_AREA(SQM),WINGLETS(YN),TEMP(C),DEWPOINT_TEMP(C),REL_HUMIDITY(PERCENT),WIND_DRCT(DEG),WIND_SPEED(KMH),1HOUR_PRECIPITATION(INCH),SEA_LEVEL_PRESSURE(MILLIBAR),VISIBILITY(MILES),EVENT_BR,EVENT_DZ,EVENT_FG,EVENT_FU,EVENT_GR,EVENT_GS,EVENT_HZ,EVENT_IC,EVENT_RA,EVENT_SN,EVENT_TS,RUNWAY_ERROR(PERC)
9365042,-5,93,80,-0.7818314824680299,0.6234898018587334,-0.9563047559630354,0.2923717047227367,255.57600000000002,9.000744000000001,1525.1765143069492,1,27.77777777777778,16.722222222222225,50.97,70.0,22.224,0.0,1016.9,10.0,0,0,0,0,0,0,0,0,0,0,0,0.0
9286591,-6,119,78,0.7818314824680298,0.6234898018587336,-0.6394390019805846,-0.7688418320734597,259.28000000000003,6.3246,560.2935711631364,1,25.61111111111111,22.77777777777778,84.36,0.0,0.0,0.0,1019.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0.8
5737908,0,134,81,0.0,1.0,-0.9781476007338058,0.20791169081775857,264.836,13.639800000000001,2071.0702341137126,0,4.388888888888888,-13.277777777777777,26.4,140.0,12.964,0.0,1037.8,10.0,0,0,0,0,0,0,0,0,0,0,0,0.2
6848821,2,130,48,-0.433883739117558,-0.9009688679024191,-0.36243803828370186,0.9320078692827984,259.28000000000003,12.100560000000002,1517.8372352285396,1,22.22222222222222,8.88888888888889,42.51,140.0,16.668,0.0,1026.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0.4
6468361,-1,211,41,0.7818314824680298,0.6234898018587336,-0.13485093027372247,-0.9908658973868824,261.132,12.624816000000001,1445.0947603121517,0,11.11111111111111,9.38888888888889,89.13,90.0,9.26,0.0,1024.9,10.0,0,0,0,0,0,0,0,0,0,0,0,1.0
6390410,-10,59,60,0.43388373911755823,-0.900968867902419,0.3420201433256689,-0.9396926207859083,259.28000000000003,6.3246,560.2935711631364,1,13.277777777777777,12.777777777777779,96.78,50.0,9.26,0.0,1011.1,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0
9267641,-3,168,50,0.0,1.0,-0.20791169081775907,-0.9781476007338057,261.132,12.624816000000001,1445.0947603121517,0,24.388888888888893,21.11111111111111,81.96,30.0,5.556,0.0,1020.7,10.0,0,0,0,0,0,0,0,0,0,0,0,0.6
6728834,-3,124,42,-0.433883739117558,-0.9009688679024191,-0.17364817766693047,-0.984807753012208,255.57600000000002,9.000744000000001,1525.1765143069492,1,4.388888888888888,-6.111111111111112,46.41,0.0,0.0,0.0,1028.5,10.0,0,0,0,2,0,0,0,0,0,0,0,0.4
9336157,-12,134,72,-0.433883739117558,-0.9009688679024191,0.8038568606172174,-0.5948227867513411,257.428,9.043416,1075.1579338535862,0,22.77777777777778,16.722222222222225,68.66,40.0,11.112,0.0,1013.9,10.0,0,0,0,0,0,0,0,0,0,0,0,0.8
10835469,-3,77,59,-0.433883739117558,-0.9009688679024191,-0.9753423205085126,-0.22069743502150163,255.57600000000002,9.000744000000001,1525.1765143069492,1,15.0,13.88888888888889,93.07,300.0,9.26,0.0,1021.5,2.5,2,0,0,0,0,0,0,0,0,0,0,0.6
10274651,-7,106,46,0.9749279121818236,-0.22252093395631434,0.14780941112961038,-0.9890158633619168,257.428,9.043416,1075.1579338535862,0,5.6111111111111125,3.8888888888888893,88.67,290.0,12.964,0.0,1015.0,10.0,0,0,0,0,0,0,0,0,0,0,0,1.0
9985126,-5,100,68,-0.433883739117558,-0.9009688679024191,-0.6259234721840587,-0.779884483092882,261.132,12.624816000000001,1445.0947603121517,0,20.0,17.750000000000004,86.88,90.0,13.89,0.0,1020.7,6.0,2,0,0,0,0,0,0,0,0,0,0,0.6
